Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
China,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,71.0,72.5,74.0,73.03333333333333,72.06666666666666,71.1,74.475,77.85,81.225,84.6,87.64999847499999,90.69999695,90.40000153,91.09999847,83.8,83.4,83.0,83.8,86.9,86.44,85.98,85.52,85.06,84.6,86.94999999999999,89.3,89.0,89.1,88.6,87.9,87.22,86.54,85.86,85.18,84.5
India,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,16.01111111111111,18.42222222222222,20.833333333333332,23.24444444444444,25.65555555555555,28.066666666666663,30.477777777777774,32.888888888888886,35.3,35.3,36.67142857142857,38.04285714285714,39.41428571428571,40.785714285714285,42.15714285714286,43.528571428571425,44.9,44.06,43.22,42.38,41.54,40.7,41.95,43.2,44.45,45.7,46.95,48.2,46.9,48.93333333333333,50.96666666666667,53.0,53.0,54.4,56.3,55.55,54.8,54.637499999999996,54.474999999999994,54.3125,54.15,53.9875,53.825,53.6625,53.5,53.5
United States,66.5,66.5,66.5,66.5,66.5,66.5,66.72,66.94,67.16,67.38,67.6,68.26666666666667,68.93333333333332,69.6,74.3,79.0,67.7,68.0,68.3,68.6,68.9,69.2,69.5,70.3,71.1,71.9,72.7,73.5,74.3,72.5,70.7,71.84,72.98,74.12,75.26,76.4,75.88571428571429,75.37142857142858,74.85714285714286,74.34285714285714,73.82857142857142,73.31428571428572,72.8,73.66,74.52,75.38,76.24,77.1,76.4,76.4,76.4,75.25,74.1,74.1,72.70028,72.7,75.93718106,75.93718106
