Year,Aruba,Afghanistan,Angola,Albania,Andorra,Arab World,United Arab Emirates,Argentina,Armenia,American Samoa,Antigua and Barbuda,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,"Bahamas, The",Bosnia and Herzegovina,Belarus,Belize,Bermuda,Bolivia,Brazil,Barbados,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Central Europe and the Baltics,Switzerland,Channel Islands,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Comoros,Cabo Verde,Costa Rica,Caribbean small states,Cuba,Curacao,Cayman Islands,Cyprus,Czech Republic,Germany,Djibouti,Dominica,Denmark,Dominican Republic,Algeria,East Asia & Pacific (excluding high income),Early-demographic dividend,East Asia & Pacific,Europe & Central Asia (excluding high income),Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Euro area,Eritrea,Spain,Estonia,Ethiopia,European Union,Fragile and conflict affected situations,Finland,Fiji,France,Faroe Islands,"Micronesia, Fed. Sts.",Gabon,United Kingdom,Georgia,Ghana,Gibraltar,Guinea,"Gambia, The",Guinea-Bissau,Equatorial Guinea,Greece,Grenada,Greenland,Guatemala,Guam,Guyana,High income,"Hong Kong SAR, China",Honduras,Heavily indebted poor countries (HIPC),Croatia,Haiti,Hungary,IBRD only,IDA & IBRD total,IDA total,IDA blend,Indonesia,IDA only,Isle of Man,India,Not classified,Ireland,"Iran, Islamic Rep.",Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,Kiribati,St. Kitts and Nevis,"Korea, Rep.",Kuwait,Latin America & Caribbean (excluding high income),Lao PDR,Lebanon,Liberia,Libya,St. Lucia,Latin America & Caribbean,Least developed countries: UN classification,Low income,Liechtenstein,Sri Lanka,Lower middle income,Low & middle income,Lesotho,Late-demographic dividend,Lithuania,Luxembourg,Latvia,"Macao SAR, China",St. Martin (French part),Morocco,Monaco,Moldova,Madagascar,Maldives,Middle East & North Africa,Mexico,Marshall Islands,Middle income,North Macedonia,Mali,Malta,Myanmar,Middle East & North Africa (excluding high income),Montenegro,Mongolia,Northern Mariana Islands,Mozambique,Mauritania,Mauritius,Malawi,Malaysia,North America,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,Nauru,New Zealand,OECD members,Oman,Other small states,Pakistan,Panama,Peru,Philippines,Palau,Papua New Guinea,Poland,Pre-demographic dividend,Puerto Rico,"Korea, Dem. People‰Ûªs Rep.",Portugal,Paraguay,West Bank and Gaza,Pacific island small states,Post-demographic dividend,French Polynesia,Qatar,Romania,Russian Federation,Rwanda,South Asia,Saudi Arabia,Sudan,Senegal,Singapore,Solomon Islands,Sierra Leone,El Salvador,San Marino,Somalia,Serbia,Sub-Saharan Africa (excluding high income),South Sudan,Sub-Saharan Africa,Small states,Sao Tome and Principe,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Sint Maarten (Dutch part),Seychelles,Syrian Arab Republic,Turks and Caicos Islands,Chad,East Asia & Pacific (IDA & IBRD countries),Europe & Central Asia (IDA & IBRD countries),Togo,Thailand,Tajikistan,Turkmenistan,Latin America & the Caribbean (IDA & IBRD countries),Timor-Leste,Middle East & North Africa (IDA & IBRD countries),Tonga,South Asia (IDA & IBRD),Sub-Saharan Africa (IDA & IBRD countries),Trinidad and Tobago,Tunisia,Turkey,Tuvalu,Tanzania,Uganda,Ukraine,Upper middle income,Uruguay,United States,Uzbekistan,St. Vincent and the Grenadines,"Venezuela, RB",British Virgin Islands,Virgin Islands (U.S.),Vietnam,Vanuatu,World,Samoa,Kosovo,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1982,22.329,50.098,50.322,26.627,,40.57023822,30.251,23.846,24.297,,18.228,15.8,12.5,25.2,51.464,12.2,47.256,49.011,41.91,13.9,32.931,26.562,17.899,16.3,40.288,,38.301,30.99,17.529,30.997,43.298,43.094,42.339,15.1,16.25617308,11.7,11.545,23.015,22.28,47.254,46.379,46.254,40.871,30.263,45.926,41.989,29.95,28.70434841,16.366,,,20.379,13.7,11,40.857,23.3,10.3,33.047,41.377,24.92830513,36.73761734,23.77801885,20.68887435,16.49762338,33.606,38.763,12.67867942,45.275,13.6,15.4,49.157,13.35319189,43.46552514,13.7,33.148,14.2,16.4,38.994,38.395,12.8,18.726,42.461,,48.505,46.773,49.703,43.349,14,32.297,20.4,42.874,27.603,30.794,15.22150337,16.4,42.908,47.09852781,14.4,42.547,12.5,28.42996422,31.36224478,44.37223545,43.42142173,32.02,44.84905415,,35.631,,20.3,44.328,39.24,18.5,24,10.9,28.497,39.852,12.8,24.4,48.817,31.1,49.063,36.824,29.1,21.6,35.875,31.66640158,42.921,28.539,48.412,37.794,34.053,31.16364706,45.27432234,45.8210879,14.6,25.993,36.50623383,31.44860558,41.299,23.27618254,15.4,11.8,14.8,19.811,21,36.795,,21.607,45.454,47.816,40.53372675,33.261,,30.29394612,20.767,49.398,18.1,34.168,40.85513066,18.502,38.429,,46.23,42.786,22.6,51.087,31.024,15.82174827,41.107,26.3,56.686,46.506,43.484,12,12.5,41.289,,15.8,16.67335137,48.742,34.99972344,42.234,29.771,35.067,35.911,,38.519,19.5,46.98273119,21.05,20.887,15.2,36.674,,36.21915286,14.19655961,30.5,33.485,15.3,16.6,53.355,36.91154173,43.292,44.442,47.675,17.5,42.896,47.53,35.865,,44.322,,46.30436356,47.74,46.30083808,33.41911358,41.131,29.728,18.3,15.1,11.1,48.129,,24.1,43.414,,49.954,24.98076523,20.50409137,46.343,24.591,41.695,36.164,31.67649524,39.493,40.85513066,34.624,36.91154173,46.30083808,28.704,33.599,33.05,,45.96,49.271,14.8,24.95703934,18.585,15.9,35.1,29.407,31.878,,24.7,31.421,38.509,28.0921676,36.378,33.4,54.599,35.882,47.317,43.336
1983,22.187,49.984,50.449,26.528,,40.10007016,30.343,23.451,24.446,,18.365,15.8,11.9,26.1,51.6,11.9,47.188,48.871,41.247,13.8,32.882,26.525,17.62,17.6,39.713,,37.904,30.371,17.418,30.677,42.827,42.286,42.488,15,16.06113442,11.5,11.607,22.856,20.19,46.603,46.431,46.226,40.33,29.77,45.845,42.282,29.917,28.45025493,16.653,,,20.483,13.3,10.6,40.693,24.3,9.9,32.556,40.354,23.29738039,36.34702644,22.27531983,21.15872856,16.5848579,33.132,38.537,12.34193668,45.26,12.7,16,49.161,13.07486306,43.10559712,13.8,32.682,14.2,15.4,38.758,38.407,12.8,18.771,42.317,,48.643,46.719,49.846,43.324,13.5,32.641,19.1,42.282,27.358,30.551,14.90247473,15.6,42.316,46.94424947,14.1,42.429,11.9,27.5801121,30.64599892,44.13529908,43.28050701,31.246,44.56571704,,35.289,,19.1,43.994,38.969,18.4,24,10.6,28.282,39.208,12.7,24.5,48.349,31.3,49.943,37.039,24.1,19.3,34.866,31.15295193,43.029,28.163,48.218,36.664,33.257,30.66556182,45.01835031,45.75861087,13.2,25.343,36.20468932,30.72561897,40.661,21.96271655,16.5,11.4,15.9,21.316,23.4,36.021,,21.81,45.137,48.136,40.08871949,32.592,,29.51314383,20.502,49.25,17.1,33.433,40.40677649,18.385,38.29,,45.969,42.492,21,50.979,30.782,15.54127195,40.762,25.8,56.634,46.243,42.719,11.8,12.1,41.022,,15.8,16.34508343,48.027,34.83938191,42.234,29.262,34.582,35.583,,37.984,19.8,46.79197234,20.1,21.1,14.5,36.581,,35.83338411,13.95770999,30.47,32.245,14.2,17.5,52.968,36.56969415,42.668,43.976,47.176,16.3,42.377,47.492,35.077,,44.656,,46.11278296,47.686,46.10965229,33.23350503,41.023,29.686,18.1,14.1,11,47.211,,25.8,42.684,,50.05,23.32588059,20.9495163,45.879,23.723,42.232,36.224,31.15194145,40.075,40.40677649,34.329,36.56969415,46.10965229,28.349,32.881,32.195,,45.73,49.377,16,23.71966369,18.368,15.6,35.4,28.724,31.537,,24.8,31.164,38.18,27.48707737,36.047,30.8,54.593,35.682,47.053,42.36
1984,21.989,49.865,50.569,26.452,,39.56784314,30.282,23.128,24.502,,18.47,15,11.8,26.6,51.676,11.7,47.1,48.68,40.514,13.6,32.757,26.261,17.324,17,39.142,15.1,37.542,29.648,17.268,30.433,42.364,41.314,42.594,15,16.00533747,11.6,11.695,22.758,19.9,45.988,46.411,46.195,39.828,29.28,45.664,42.503,29.84,28.06029212,16.987,,,20.467,13.3,10.4,40.538,20.8,10.1,32.077,39.284,22.9494378,35.90793248,21.87875754,20.968665,16.42767827,32.671,38.211,12.17017553,45.188,12.3,16,49.089,12.97862628,42.76626444,13.3,32.116,14.3,15.4,38.318,38.378,12.9,18.779,42.154,,48.733,46.749,49.748,43.256,12.7,32.814,20,41.643,27.22,30.191,14.66620601,14.4,41.714,46.76463044,13.9,42.046,11.8,27.21307508,30.32444279,43.89184991,43.16497753,30.431,44.25923631,,34.886,,18.1,43.31,38.757,17.2,23.7,10.4,27.977,38.529,12.5,25.5,47.808,32,50.185,37.207,25.3,16.7,33.637,30.61447433,43.134,27.835,47.97,35.619,32.511,30.14699199,44.71605566,45.66185266,15.2,24.621,35.81051709,30.41059972,39.97,21.63126997,16.4,11.5,15.9,22.377,24.3,35.11,,21.919,44.88,48.134,39.51011022,31.987,,29.17471065,20.182,49.102,16.9,32.621,39.82847714,18.209,38.109,,45.682,42.201,20.1,50.864,30.466,15.54113529,40.41,24.8,56.524,45.962,41.841,12.1,12.1,40.732,,16,16.08479139,47.177,34.60095982,42.229,28.785,34.107,35.261,,37.428,19,46.59069064,19.3,21.19,14.3,36.389,,35.39333744,13.73654533,30.474,30.785,15.5,16.9,52.454,36.17314845,41.892,43.512,46.574,16.5,41.954,47.415,34.331,,45.082,,45.89448064,47.694,45.8916187,32.95812877,40.91,29.589,17.7,13.6,11.3,46.082,,26.9,41.885,,50.15,22.97225913,20.7035192,45.365,22.901,42.681,36.349,30.60510194,40.507,39.82847714,33.859,36.17314845,45.8916187,27.716,32.13,31.27,,45.515,49.474,15.6,23.38171008,18.225,15.6,36.3,28.046,31.223,,24.9,30.893,37.843,27.22203025,35.694,33.5,54.56,35.355,46.82,41.45
1985,21.726,49.735,50.663,26.367,,38.96897514,30.022,22.889,24.431,,18.525,15.7,11.6,26.6,51.67,11.6,46.991,48.457,39.713,13.3,32.514,25.819,16.996,16.5,38.587,,37.208,28.843,17.079,30.253,41.878,40.221,42.64,14.9,15.77906269,11.5,11.803,22.707,21.04,45.422,46.31,46.163,39.38,28.813,45.372,42.616,29.692,27.66091035,17.275,,17.62558832,20.34,13.1,10.5,40.395,,10.5,31.612,38.175,23.60792257,35.41214277,22.39345575,20.64909277,16.24023522,32.217,37.749,11.99570825,45.011,11.9,15.5,48.937,12.88197257,42.38472145,12.8,31.492,14.2,16.3,37.694,38.308,13.3,18.728,41.951,,48.768,46.844,49.432,43.142,11.7,32.747,21.7,41.001,27.14,29.745,14.54752935,14,41.114,46.56158975,13.3,41.426,12.2,27.27626036,30.3446623,43.60529577,43.048412,29.592,43.88764664,11.2,34.418,,17.6,42.235,38.588,16,23.5,10.2,27.585,37.835,11.9,25.1,47.171,32,49.766,37.321,23.1,16.1,32.161,30.05961926,43.227,27.579,47.659,34.633,31.818,29.62016946,44.36862629,45.5275941,13.9,23.856,35.34842188,30.4385176,39.228,22.16589692,16.5,11.2,15.4,22.901,25,34.097,,21.876,44.689,47.751,38.78180508,31.434,,29.20927077,19.813,48.966,16.1,31.749,39.10084427,17.976,37.793,,45.399,41.907,19,50.696,30.088,15.71182376,40.046,23.4,56.366,45.671,40.875,12.3,12.3,40.419,,15.9,15.94545588,46.163,34.21233799,42.204,28.333,33.626,34.936,,36.873,18.3,46.37996913,19.4,21.138,13,36.093,,34.92647396,13.61223291,30.456,29.188,15.8,16.6,51.815,35.71872596,40.981,43.077,45.895,16.6,41.616,47.302,33.648,,45.584,,45.64581011,47.74,45.64298391,32.59602381,40.79,29.421,17.5,13.4,11.8,44.801,,26.5,41.011,,50.261,23.63993717,20.34640494,44.801,22.133,42.957,36.495,30.04541192,40.793,39.10084427,33.278,35.71872596,45.64298391,26.82,31.322,30.295,,45.306,49.562,14.587,23.8077642,18.157,15.8,37.4,27.384,30.915,,25,30.603,37.509,27.25422068,35.314,32.1,54.477,34.87,46.615,40.601
1986,21.397,49.586,50.712,26.241,11.9,38.30286897,29.537,22.727,24.207,,18.535,15,11.5,27.6,51.558,11.9,46.856,48.218,38.846,13.4,32.122,25.289,16.624,17.1,38.048,,36.884,27.989,16.859,30.121,41.333,39.067,42.614,14.5,15.43126256,11.7,11.932,22.682,22.43,44.907,46.127,46.134,38.993,28.392,44.962,42.593,29.449,27.093432,17.434,,16.8819902,20.132,12.9,10.9,40.277,,10.8,31.167,37.034,24.43066144,34.85269814,23.03664913,21.05273166,16.35494713,31.763,37.118,11.92970184,44.683,11.4,15.7,48.712,12.77259672,42.00453449,12.3,30.858,14.1,17.2,36.937,38.203,13.3,18.598,41.688,,48.743,46.973,48.951,42.982,11.3,32.381,19.7,40.408,27.044,29.275,14.26763746,13,40.528,46.33913999,12.8,40.628,12.1,27.46470703,30.45628997,43.26976868,42.84760985,28.754,43.484484,,33.89,,17.4,40.747,38.443,16.4,23.1,9.8,27.127,37.166,11.4,25.6,46.409,32.7,48.756,37.369,23,15.4,30.44,29.49123529,43.3,27.417,47.279,33.662,31.161,29.08055583,43.98081187,45.35818446,12.9,23.089,34.89317879,30.56285188,38.433,22.92836286,16.7,11.7,16.1,22.851,23.9,33.035,,21.622,44.563,46.974,37.89234608,30.913,,29.35071545,19.407,48.857,15.3,30.839,38.21148399,17.697,37.24,,45.152,41.6,18.6,50.418,29.672,15.49216109,39.661,24.9,56.178,45.375,39.857,12.7,12.6,40.081,,16.3,15.67583974,44.949,33.91651982,42.14,27.897,33.122,34.6,,36.344,17,46.15930641,19.45,20.986,12.6,35.696,,34.46087953,13.47827227,30.353,27.559,16.5,17.2,51.054,35.20913862,39.972,42.697,45.176,14.8,41.331,47.165,33.044,,46.149,,45.36768871,47.787,45.36492201,32.24125011,40.662,29.185,16.8,13,12.2,43.455,,26.2,40.057,,50.389,24.47521635,20.58385263,44.188,21.431,42.987,36.605,29.4776745,40.988,38.21148399,32.68,35.20913862,45.36492201,25.705,30.428,29.304,,45.091,49.642,15.5,24.44028187,18.155,15.6,37.9,26.759,30.584,,23.65,30.293,37.186,27.33205392,34.9,31.8,54.329,34.207,46.428,39.78
1987,21.008,49.418,50.711,26.047,11,37.58054813,28.859,22.606,23.826,,18.534,15.4,11.4,26.8,51.323,11.9,46.693,47.982,37.933,13,31.58,24.784,16.212,16.1,37.513,,36.548,27.129,16.63,30.003,40.701,37.917,42.524,14.4,15.04603257,11.7,12.079,22.656,23.33,44.434,45.874,46.11,38.663,28.02,44.453,42.418,29.098,26.45957887,17.438,,16.12359929,19.883,12.7,11.2,40.183,23.6,11,30.745,35.86,24.89962403,34.23743374,23.43773805,20.77588425,16.20514491,31.306,36.325,11.85828024,44.182,11,16.2,48.433,12.70150038,41.62720916,12.1,30.26,14,16.8,36.132,38.067,13.7,18.386,41.36,,48.662,47.085,48.387,42.782,10.6,31.718,20.4,39.901,26.866,28.856,14.21208356,12.6,39.966,46.10249846,12.5,39.747,11.9,27.40098089,30.35002133,42.86870895,42.51592187,27.943,43.04867739,,33.32,,16.5,38.912,38.298,16.6,22.7,9.7,26.646,36.563,11.1,25.7,45.529,32.7,47.36,37.342,23.6,15,28.567,28.91953756,43.335,27.338,46.839,32.666,30.499,28.53739131,43.56594522,45.16136213,13.2,22.357,34.34152098,30.46257779,37.596,23.32441377,16.4,11.4,16,22.33,25.2,31.986,,21.142,44.483,45.869,36.86865616,30.402,39,29.25115966,18.987,48.782,15.4,29.925,37.17995171,17.395,36.402,,44.966,41.273,19.3,49.998,29.25,15.5720654,39.247,25.7,55.983,45.079,38.824,12.7,12.9,39.716,,16.8,15.56554694,43.525,33.70024391,42.021,27.473,32.583,34.241,,35.859,16.1,45.92902723,19.5,20.824,12.3,35.217,,34.15253027,13.4133705,30.116,26.005,16.7,17.2,50.191,34.65914695,38.917,42.383,44.465,16.6,41.054,47.015,32.511,,46.751,,45.06452545,47.799,45.06151586,31.92616077,40.522,28.908,16.1,12.9,12.5,42.142,,24.5,39.034,,50.531,24.95216694,20.25163543,43.537,20.794,42.753,36.61,28.91127391,41.176,37.17995171,32.154,34.65914695,45.06151586,24.463,29.436,28.335,,44.856,49.714,14.8,24.71386765,18.193,15.7,37.2,26.191,30.205,,22.3,29.959,36.883,27.27531725,34.461,32.1,54.096,33.388,46.249,38.941
1988,20.57,49.236,50.657,25.762,11.6,36.81770394,28.026,22.493,23.292,,18.549,14.9,11.6,26.4,50.961,12.1,46.502,47.764,36.992,13.1,30.902,24.379,15.769,16.1,36.973,,36.181,26.303,16.407,29.865,39.963,36.828,42.383,14.5,14.77003492,12.2,12.238,22.598,22.37,43.994,45.566,46.094,38.383,27.696,43.869,42.08,28.635,25.88441009,17.276,,16.05441602,19.62,12.8,11.4,40.093,,11.5,30.344,34.653,24.05053035,33.58168257,22.70416396,19.95852462,15.87089184,30.843,35.393,11.90967776,43.5,10.8,16,48.124,12.71504456,41.25268726,12.8,29.729,13.8,18.4,35.355,37.903,13.8,18.09,40.969,,48.526,47.139,47.806,42.556,10.7,30.789,22.1,39.497,26.565,28.541,14.29979226,13.4,39.432,45.85660794,12.3,38.864,11.7,26.66421611,29.68817008,42.41113252,42.07064685,27.179,42.58518441,11.7,32.726,,15.5,36.817,38.137,18.7,22.6,10.1,26.177,36.052,10.8,24.8,44.56,31.5,45.769,37.23,21.3,15.1,26.662,28.35698815,43.306,27.319,46.357,31.617,29.804,27.99922128,43.1375067,44.94495188,14.9,21.693,33.76319453,29.79813156,36.732,22.47333407,15.5,12.3,15.6,21.454,25.5,30.995,,20.45,44.429,44.507,35.74756123,29.885,,28.5412087,18.566,48.746,15.9,29.044,36.03646227,17.089,35.27,,44.853,40.928,20.1,49.429,28.842,15.85186513,38.799,24.7,55.799,44.79,37.807,12.6,13.7,39.323,,17.3,15.560968,41.91,33.44640173,41.835,27.056,31.999,33.856,,35.433,15.6,45.69110933,19.3,20.718,12.2,34.677,,33.62022613,13.490098,29.718,24.613,16.5,16,49.253,34.08455814,37.859,42.134,43.8,19.8,40.748,46.864,32.037,,47.362,,44.73970805,47.747,44.73671858,31.61324584,40.371,28.611,15.9,12.6,13.3,40.935,,23.8,37.969,,50.683,24.09335277,19.47301134,42.869,20.22,42.257,36.45,28.35692761,41.407,36.03646227,31.757,34.08455814,44.73671858,23.181,28.35,27.424,,44.594,49.776,14.4,23.85850395,18.241,16,35.3,25.687,29.764,,22,29.582,36.6,26.79014276,34.009,31.4,53.756,32.445,46.071,38.061
1989,20.089,49.048,50.547,25.372,12.5,36.02979036,27.059,22.372,22.609,,18.587,14.9,11.6,26.4,50.475,12.2,46.281,47.574,36.041,12.6,30.105,24.09,15.305,15.1,36.424,15.2,35.777,25.534,16.194,29.678,39.114,35.83,42.203,14.9,14.24551005,12.2,12.401,22.484,21.58,43.588,45.213,46.085,38.159,27.41,43.23,41.561,28.064,25.32644559,16.948,,17.50319693,19.347,12.4,11.2,39.979,,12,29.956,33.415,23.32960285,32.90676466,22.01647156,18.86364418,15.25632907,30.377,34.352,11.68235161,42.638,10.5,15.5,47.798,12.4536801,40.88803743,12.8,29.275,13.6,19.5,34.642,37.711,13.6,17.715,40.523,,48.339,47.111,47.243,42.316,10.1,29.633,21.9,39.199,26.138,28.339,14.17540748,12.3,38.934,45.60461916,11.7,38.024,11.8,25.94836767,29.0417771,41.93208722,41.57985327,26.471,42.11240727,12.1,32.121,,14.8,34.544,37.954,18,22.3,9.9,25.735,35.634,10.2,23,43.544,30.4,44.077,37.027,22.3,15.1,24.824,27.80624016,43.18,27.334,45.853,30.517,29.067,27.47070235,42.70495626,44.71090952,13.2,21.114,33.15407946,29.15157417,35.864,21.69928869,15.1,12.4,14.6,20.301,26.1,30.083,,19.574,44.384,42.92,34.55187755,29.352,,27.8499115,18.148,48.744,15.9,28.222,34.8137041,16.787,33.861,,44.815,40.57,20.8,48.727,28.456,16.25050122,38.315,23.6,55.633,44.516,36.82,12.7,14,38.901,,17.5,15.43850274,40.143,33.09315835,41.571,26.648,31.366,33.446,,35.079,14.9,45.4487349,19.1,20.668,11.8,34.094,,33.25630358,13.36537196,29.148,23.437,16,14.6,48.271,33.49741129,36.82,41.949,43.201,17.5,40.397,46.712,31.61,,47.953,,44.39869851,47.616,44.3957109,31.23431094,40.213,28.295,15.2,11.7,13.7,39.87,,23,36.898,,50.839,23.36372467,18.42192235,42.208,19.701,41.512,36.087,27.81673931,41.675,34.8137041,31.499,33.49741129,44.3957109,21.918,27.187,26.594,,44.304,49.824,13.3,23.06299627,18.282,16.4,33.3,25.243,29.261,,21.7,29.136,36.337,26.27335929,33.556,29.4,53.281,31.408,45.894,37.146
1990,19.571,48.88,50.383,24.867,11.9,35.31807115,25.984,22.226,21.768,,18.659,15.4,11.8,25.9,49.866,12.4,46.029,47.417,35.099,12.1,29.217,23.892,14.844,14,35.862,14.6,35.336,24.844,15.988,29.401,38.163,34.932,42.004,15,13.54862721,12.5,12.562,22.286,21.06,43.224,44.824,46.082,37.997,27.136,42.558,40.828,27.394,24.7985559,16.487,,18.60853714,19.049,12.6,11.4,39.777,23,12.3,29.568,32.13,22.80410113,32.26283593,21.56816127,17.96595868,14.88585844,29.912,33.249,11.71514039,41.58,10.3,14.2,47.479,12.37224458,40.60432882,13.1,28.888,13.4,19.9,34.028,37.481,13.9,17.261,40.038,,48.103,46.981,46.71,42.085,10,28.31,22.6,38.984,25.615,28.24,14.2725148,12,38.484,45.35368909,11.6,37.257,12.1,25.33235423,28.48968485,41.50944721,41.22979263,25.813,41.65278833,,31.517,,15.1,32.183,37.755,18.7,22.2,10,25.33,35.287,10,22.18,42.56,29.1,42.358,36.719,,15.2,23.225,27.27309872,42.902,27.338,45.364,29.381,28.288,26.95305267,42.27909369,44.46591895,13.2,20.624,32.59494168,28.60557064,35.013,21.10326614,15.4,12.9,14.2,18.972,24.9,29.241,,18.574,44.339,41.126,33.41434214,28.802,,27.26681255,17.724,48.769,15.2,27.486,33.65030365,16.487,32.224,,44.842,40.212,21.3,47.939,28.096,16.52983405,37.795,25.6,55.485,44.265,35.865,13.2,14.4,38.458,,17.5,15.46890154,38.282,32.65531973,41.222,26.255,30.677,33.02,21.6,34.813,14.4,45.20939252,18.5,20.657,11.7,33.489,45.22,32.81292325,13.42910409,28.411,22.509,13.6,13.4,47.283,32.90912346,35.799,41.809,42.678,18.2,39.989,46.558,31.215,,48.505,,44.05300099,47.406,44.05014227,30.79002852,40.053,27.954,15.1,11.2,14.5,38.946,,23.1,35.875,,50.992,22.8315828,17.5706598,41.585,19.222,40.557,35.465,27.29446063,41.933,33.54825421,31.341,32.90912346,44.05014227,20.72,25.975,25.865,,43.986,49.855,12.6,22.42044538,18.294,16.7,33.7,24.843,28.703,,21.4,28.561,36.084,25.87728318,33.127,29.6,52.621,30.312,45.725,36.218
1991,19.021,48.763,50.168,24.245,11.9,34.52188335,24.828,22.036,20.764,,18.776,14.9,12.2,26.6,49.136,12.6,45.745,47.296,34.183,11.1,28.276,23.73,14.416,13,35.282,15.4,34.86,24.245,15.784,28.997,37.126,34.116,41.81,14.9,13.01128569,12.7,12.717,21.979,19.68,42.906,44.405,46.084,37.903,26.844,41.878,39.848,26.644,24.33624143,15.953,,18.17917394,18.694,12.5,10.4,39.42,,12.5,29.162,30.774,21.67078386,31.61272834,20.58406757,17.05543044,14.35899054,29.459,32.141,11.37055209,40.315,10.2,12.4,47.188,12.02928796,40.30498892,13,28.538,13.2,18.3,33.529,37.203,13.8,16.737,39.54,,47.82,46.738,46.2,41.883,9.9,26.899,21.5,38.816,25.055,28.214,14.0239542,12,38.094,45.11157327,11.1,36.57,12.3,24.42414759,27.7032202,41.10898851,40.90820659,25.189,41.21182674,12.8,30.924,,14.9,29.823,37.557,17.6,21.4,9.9,24.967,34.98,9.9,21.53,41.698,28.8,40.647,36.293,,16.4,22.041,26.76288376,42.418,27.282,44.931,28.236,27.475,26.45470203,41.86904415,44.21721962,14.2,20.212,32.03876711,27.81281836,34.2,19.96314964,15.1,12.9,13.1,17.574,23.8,28.439,,17.53,44.284,39.137,32.17492136,28.24,,26.41547542,17.28,48.805,14.6,26.855,32.38990739,16.182,30.439,,44.91,39.87,20.7,47.13,27.758,16.07015727,37.241,25.7,55.351,44.044,34.923,13.2,14.3,38.005,,17.4,15.21555859,36.395,32.06600882,40.784,25.891,29.929,32.587,22.3,34.644,14.3,44.98254698,18.1,20.651,11.7,32.881,44.86,32.48921602,13.17138768,27.528,21.826,12,12.1,46.326,32.32945348,34.779,41.693,42.228,17.1,39.523,46.394,30.833,,49.005,11.9,43.71388086,47.128,43.71125633,30.28296486,39.897,27.578,14.8,10.8,14.4,38.132,,24.2,34.961,,51.133,21.68385253,16.74564525,41.031,18.766,39.447,34.542,26.79206713,42.113,32.27775507,31.206,32.32945348,43.71125633,19.612,24.751,25.249,,43.642,49.862,12.1,21.28157095,18.258,16.2,34.5,24.466,28.109,,21.1,27.79,35.828,25.21293596,32.75,27.5,51.72,29.194,45.578,35.309
1992,18.446,48.709,49.919,23.529,12.1,33.83458196,23.631,21.802,19.627,,18.938,15.1,12.2,25.2,48.315,12.4,45.432,47.197,33.299,10.4,27.328,23.52,14.04,12.5,34.681,15.5,34.364,23.721,15.574,28.464,36.037,33.348,41.64,14.7,12.27705968,12.6,12.861,21.567,18.27,42.635,43.968,46.086,37.873,26.505,41.208,38.641,25.841,23.86673845,15.426,,18.13521196,18.259,11.8,10,38.873,24,13.1,28.728,29.345,20.51435031,30.95544491,19.57240388,16.18665937,13.80165598,29.025,31.08,11.2000344,38.892,10.1,11.8,46.932,11.74816649,40.02300935,13.2,28.183,13.1,17.2,33.12,36.873,13.6,16.162,39.053,,47.497,46.399,45.685,41.723,10,25.485,22.4,38.642,24.526,28.204,13.77652713,12.3,37.755,44.88227169,10.3,35.935,11.7,23.55691522,26.95557693,40.65932132,40.41802034,24.581,40.78281546,12.2,30.348,,14.4,27.542,37.376,17.7,21.5,10,24.634,34.672,9.8,20.54,41.015,28.2,38.94,35.756,21.5,16.7,21.341,26.27018064,41.712,27.125,44.576,27.127,26.642,25.97035863,41.47671851,43.96980339,12.7,19.853,31.4594432,27.06722158,33.443,18.84264114,14.7,13.1,12.1,16.195,22.2,27.638,,16.52,44.21,36.991,31.05944604,27.681,,25.60679217,16.802,48.837,14.9,26.325,31.15920159,15.864,28.619,,44.988,39.558,21.1,46.369,27.422,15.69041361,36.659,24.5,55.218,43.853,33.974,13,14,37.542,,17.28,14.96547381,34.549,31.66841619,40.267,25.562,29.136,32.162,23.6,34.558,13.4,44.77420959,17.8,20.609,11.5,32.279,44.5,32.15736133,12.94401017,26.558,21.324,11.4,10.7,45.419,31.76372927,33.738,41.57,41.827,16.8,39.018,46.212,30.441,,49.446,,43.39649475,46.807,43.39376064,29.86074936,39.75,27.166,14.1,10,14.2,37.364,,22.6,34.188,,51.253,20.51316564,15.87121434,40.564,18.318,38.267,33.349,26.30260291,42.152,31.03672255,31.008,31.76372927,43.39376064,18.593,23.557,24.728,,43.285,49.844,11.4,20.20065662,18.169,15.8,33.1,24.087,27.507,,22,26.804,35.555,24.58119874,32.437,23,50.578,28.095,45.46,34.459
